PID,PID,POIs,PRIORITY_1,PRIORITY_2,PRIORITY_3,PRIORITY_4,PRIORITY_5
POI1,POI1,AMBER PALACE,History and Culture,Museum,Local Experiences,Scenic,Adventure
POI2,POI2,CITY PALACE JAIPUR,History and Culture,Museum,Local Experiences,Scenic,Food and Drinks
POI3,POI3,JANTAR MANTAR JAIPUR,History and Culture,Museum,-,-,-
POI4,POI4,HAWA MAHAL,History and Culture,-,Local Experiences,Scenic,-
POI5,POI5,ALBERT HALL MUSEUM (CENTRAL MUSEUM),Museum,History and Culture,Scenic,-,-
POI6,POI6,NAHARGARH FORT,Museum,History and Culture,Scenic,Local Experiences,Food and Drinks
POI7,POI7,BIRLA TEMPLE JAIPUR,Religious,Local Experiences,Scenic,-,-
POI8,POI8,JAL MAHAL,History and Culture,Scenic,Local Experiences,Adventure,-
POI9,POI9,KING EDWARD MEMORIAL,History and Culture,Museum,Local Experiences,-,Food and Drinks
POI10,POI10,SISODIA RANI PALACE AND GARDEN,Scenic,History and Culture,-,-,-
POI11,POI11,VIDYADHAR GARDEN,Scenic,-,Adventure,-,Religious
POI12,POI12,CENTRAL PARK JAIPUR INDIA,Scenic,-,-,Religious,-
POI13,POI13,ANOKHI MUSEUM OF HAND PRINTING,Museum,History and Culture,Scenic,-,-
POI14,POI14,GOVIND DEVJI TEMPLE,Religious,Local Experiences,-,-,-
POI15,POI15,MOTI DOONGRI GANESH TEMPLE,Religious,Local Experiences,-,-,-
POI16,POI16,DIGAMBER JAIN MANDIR JAIPUR,Religious,Local Experiences,-,-,-
POI17,POI17,GALTAJI,Religious,History and Culture,Local Experiences,-,-
POI18,POI18,STATUE CIRCLE,Scenic,-,-,History and Culture,-
POI19,POI19,RAM NIWAS GARDEN,Scenic,History and Culture,-,-,Food and Drinks
POI20,POI20,ZOOLOGICAL GARDEN JAIPUR,Scenic,Adventure,-,-,Food and Drinks
POI21,POI21,KANAK VRINDAVAN,Scenic,Adventure,-,-,Religious
POI22,POI22,AMAR JAWAN JYOTI JAIPUR,History and Culture,Local Experiences,-,Scenic,-
POI23,POI23,MAHARANI KI CHHATRI JAIPUR,History and Culture,-,Local Experiences,-,Religious
POI24,POI24,NAHARGARH BIOLOGICAL PARK,Scenic,Adventure,-,-,-
POI25,POI25,JAWAHAR KALA KENDRA,Shows and Concerts,Local Experiences,-,Scenic,-
POI26,POI26,RAJ MANDIR,Shows and Concerts,-,History and Culture,-,-
POI27,POI27,SAMBHAR LAKE,Scenic,Adventure,-,-,-
POI28,POI28,AKSHARDHAM TEMPLE JAIPUR,Religious,Local Experiences,-,-,-
POI29,POI29,JAGAT SHIROMANI TEMPLE,Religious,History and Culture,Scenic,-,-
POI30,POI30,JAWAHAR CIRCLE,Scenic,-,-,Shopping,Food and Drinks
POI31,POI31,MUSEUM OF GEM AND JEWELLERY,Museum,-,Food and Drinks,History and Culture,-
POI32,POI32,JHALANA SAFARI PARK IN JAIPUR,Adventure,Scenic,-,-,-
POI33,POI33,MASALA CHOWK,Shopping,Food and Drinks,Scenic,-,-
POI34,POI34,AMRAPALI MUSEUM,Museum,-,Local Experiences,-,-
POI35,POI35,MUSEUM OF LEGACIES JAIPUR INDIA,Museum,-,Local Experiences,-,-
POI36,POI36,CHOKHI DHANI,Local Experiences,Scenic,Food and Drinks,-,-
POI37,POI37,ELEFANTASTIC ELEPHANT FARM,Adventure,Scenic,-,-,Religious
POI38,POI38,PANNA MEENA KI BAOLI,Scenic,History and Culture,-,-,-
POI39,POI39,JOHARI BAZAAR,Food and Drinks,Shopping,-,-,Religious
POI40,POI40,BAPU BAZAAR,Food and Drinks,Shopping,-,-,Religious
POI41,POI41,WORLD TRADE PARK,Shopping,-,-,-,-
POI42,POI42,GARH GANESH MANDIR,Religious,Scenic,Adventure,-,-
POI43,POI43,MUKESH ART GALLERY,Museum,-,Local Experiences,-,-
POI44,POI44,ANGEL RESORT AND AMUSEMENT WATERPARK,Adventure,-,-,-,-
POI45,POI45,B M BIRLA AUDITORIUM,Shows and Concerts,Local Experiences,-,Scenic,-
POI46,POI46,"KHOLE KE HANUMAN JI TEMPLE, JAIPUR",Religious,Scenic,-,-,Adventure
POI47,POI47,SKYFUT,Adventure,Shopping,-,-,-
POI48,POI48,GATORE KI CHHATRI JAIPUR,History and Culture,Scenic,-,-,-
POI49,POI49,RUSIRANI VILLAGE JAIPUR,Local Experiences,History and Culture,-,Adventure,Scenic
POI50,POI50,DEER PARK JAIPUR,Scenic,Adventure,-,-,-
POI51,POI51,RAMGARH LAKE,Scenic,Adventure,-,-,-
POI52,POI52,ST ANDREWS CHURCH JAIPUR,Religious,-,-,-,-
POI53,POI53,JAMVA RAMGARH WILDLIFE SANCTUARY,Adventure,-,Scenic,-,-
POI54,POI54,JWALA MATA MANDIR JAIPUR,Religious,-,-,-,-
POI55,POI55,JAMWAY MATA MANDIR,Religious,-,-,-,-
POI56,POI56,LAXMI NARAYAN TEMPLE JAIPUR,Religious,Scenic,-,-,-
POI57,POI57,DARGAH BURHANUDDIN BABA JAIPUR,Religious,-,-,-,Scenic
POI58,POI58,KULISH SMIRITI VAN JAIPUR,Scenic,-,-,Adventure,Religious
POI59,POI59,DHAMMA THALI VIPASSANA MEDITATION CENTRE,Religious,-,-,-,Shopping
POI60,POI60,CHANDLAI LAKE,Scenic,-,Religious,-,-
POI61,POI61,SHRI GOPINATH TEMPLE JAIPUR,Religious,-,-,-,Scenic
POI62,POI62,DOLLS MUSEUM,Museum,-,-,Local Experiences,Religious
POI63,POI63,PEACOCK GARDEN JAIPUR,Scenic,-,Shopping,-,-
POI64,POI64,ELEMENTS SHOPPING JAIPUR,Shopping,Shows and Concerts,-,-,-
POI65,POI65,CRYSTAL MALL JAIPUR,Shopping,-,Shows and Concerts,-,-
POI66,POI66,HANDICRAFT HAVELI JAIPUR,Local Experiences,-,-,-,-
POI67,POI67,SUNRISE DREAM WORLD AMUSEMENT PARK,Adventure,-,-,-,-
POI68,POI68,BRETHREN CHURCH JAIPUR,Religious,-,-,Shows and Concerts,-
POI69,POI69,MI ROAD,Shopping,Food and Drinks,-,-,-
POI70,POI70,BHANGARH FORT,Adventure,Scenic,Religious,-,-
POI71,POI71,SKY WALTZ BALLOON SAFARI,Adventure,Scenic,-,-,Local Experiences
